,player_name,player_profile_url,player_code
361,Zach LaVine,/players/l/lavinza01.html,lavinza01
362,Anthony Lamb,/players/l/lamban01.html,lamban01.
363,Jock Landale,/players/l/landajo01.html,landajo01
364,Romeo Langford,/players/l/langfro01.html,langfro01
365,A.J. Lawson,/players/l/lawsoaj01.html,lawsoaj01
366,Jake Layman,/players/l/laymaja01.html,laymaja01
367,Caris LeVert,/players/l/leverca01.html,leverca01
368,Jalen Lecque,/players/l/lecquja01.html,lecquja01
369,Damion Lee,/players/l/leeda03.html,leeda03.h
370,Saben Lee,/players/l/leesa01.html,leesa01.h
371,Alex Len,/players/l/lenal01.html,lenal01.h
372,Kawhi Leonard,/players/l/leonaka01.html,leonaka01
373,Meyers Leonard,/players/l/leoname01.html,leoname01
374,Kira Lewis Jr.,/players/l/lewiski01.html,lewiski01
375,Damian Lillard,/players/l/lillada01.html,lillada01
376,Nassir Little,/players/l/littlna01.html,littlna01
377,Isaiah Livers,/players/l/liveris01.html,liveris01
378,Kenneth Lofton Jr.,/players/l/loftoke01.html,loftoke01
379,Kevon Looney,/players/l/looneke01.html,looneke01
380,Brook Lopez,/players/l/lopezbr01.html,lopezbr01
381,Robin Lopez,/players/l/lopezro01.html,lopezro01
382,Didi Louzada,/players/l/louzama01.html,louzama01
383,Kevin Love,/players/l/loveke01.html,loveke01.
384,Kyle Lowry,/players/l/lowryky01.html,lowryky01
385,Timothé Luwawu-Cabarrot,/players/l/luwawti01.html,luwawti01
386,Trey Lyles,/players/l/lylestr01.html,lylestr01
387,Théo Maledon,/players/m/maledth01.html,maledth01
388,Sandro Mamukelashvili,/players/m/mamuksa01.html,mamuksa01
389,Karim Mané,/players/m/maneka01.html,maneka01.
390,Terance Mann,/players/m/mannte01.html,mannte01.
391,Tre Mann,/players/m/manntr01.html,manntr01.
392,Nico Mannion,/players/m/mannini01.html,mannini01
393,Boban Marjanović,/players/m/marjabo01.html,marjabo01
394,Lauri Markkanen,/players/m/markkla01.html,markkla01
